Freq.	-V(out)/I(V1)
6.76082975391979e+004	(7.38724624378958e+001dB,-4.36275221766104e+000°)
6.91830970918933e+004	(7.38708139172932e+001dB,-4.29675082938925e+000°)
7.07945784384134e+004	(7.38692339292894e+001dB,-4.23291273549733e+000°)
7.24435960074987e+004	(7.38677194438508e+001dB,-4.17121143102710e+000°)
7.41310241300914e+004	(7.38662675426795e+001dB,-4.11162108338692e+000°)
7.58577575029180e+004	(7.38648754153809e+001dB,-4.05411654596726e+000°)
7.76247116628688e+004	(7.38635403555041e+001dB,-3.99867337064649e+000°)
7.94328234724277e+004	(7.38622597566873e+001dB,-3.94526781922520e+000°)
8.12830516164095e+004	(7.38610311089624e+001dB,-3.89387687386011e+000°)
8.31763771102667e+004	(7.38598519949315e+001dB,-3.84447824659062e+000°)
8.51138038202372e+004	(7.38587200862076e+001dB,-3.79705038799077e+000°)
8.70963589956076e+004	(7.38576331397701e+001dB,-3.75157249504479e+000°)
8.91250938133741e+004	(7.38565889944734e+001dB,-3.70802451827951e+000°)
9.12010839355905e+004	(7.38555855676425e+001dB,-3.66638716823889e+000°)
9.33254300796986e+004	(7.38546208515836e+001dB,-3.62664192133449e+000°)
9.54992586021431e+004	(7.38536929104453e+001dB,-3.58877102514571e+000°)
9.77237220955805e+004	(7.38527998768666e+001dB,-3.55275750321042e+000°)
1.00000000000000e+005	(7.38519399488802e+001dB,-3.51858515936235e+000°)
